"ID (S)","Name (S)","Population (N)"
"04000US01","Alabama","4887871"
"04000US02","Alaska","737438"
"04000US04","Arizona","7171646"
"04000US05","Arkansas","3013825"
"04000US06","California","39557045"
"04000US08","Colorado","5695564"
"04000US09","Connecticut","3572665"
"04000US10","Delaware","967171"
"04000US11","District of Columbia","702455"
"04000US12","Florida","21299325"
"04000US13","Georgia","10519475"
"04000US15","Hawaii","1420491"
"04000US16","Idaho","1754208"
"04000US17","Illinois","12741080"
"04000US18","Indiana","6691878"
"04000US19","Iowa","3156145"
"04000US20","Kansas","2911510"
"04000US21","Kentucky","4468402"
"04000US22","Louisiana","4659978"
"04000US23","Maine","1338404"
"04000US24","Maryland","6042718"
"04000US25","Massachusetts","6902149"
"04000US26","Michigan","9995915"
"04000US27","Minnesota","5611179"
"04000US28","Mississippi","2986530"
"04000US29","Missouri","6126452"
"04000US30","Montana","1062305"
"04000US31","Nebraska","1929268"
"04000US32","Nevada","3034392"
"04000US33","New Hampshire","1356458"
"04000US34","New Jersey","8908520"
"04000US35","New Mexico","2095428"
"04000US36","New York","19542209"
"04000US37","North Carolina","10383620"
"04000US38","North Dakota","760077"
"04000US39","Ohio","11689442"
"04000US40","Oklahoma","3943079"
"04000US41","Oregon","4190713"
"04000US42","Pennsylvania","12807060"
"04000US44","Rhode Island","1057315"
"04000US45","South Carolina","5084127"
"04000US46","South Dakota","882235"
"04000US47","Tennessee","6770010"
"04000US48","Texas","28701845"
"04000US49","Utah","3161105"
"04000US50","Vermont","626299"
"04000US51","Virginia","8517685"
"04000US53","Washington","7535591"
"04000US54","West Virginia","1805832"
"04000US55","Wisconsin","5813568"
"04000US56","Wyoming","577737"
"04000US72","Puerto Rico","3195153"
